Date,Open,High,Low,Close,Adj Close,Volume
2020-12-23,114.19999694824219,115.19999694824219,113.3030014038086,114.0,109.25762939453125,657735
2020-12-24,114.80000305175781,114.80000305175781,113.60399627685547,114.0,109.25762939453125,107478
2020-12-29,114.80000305175781,116.80000305175781,113.3759994506836,114.5999984741211,109.8326644897461,488938
2020-12-30,117.19999694824219,117.19999694824219,113.25800323486328,114.19999694824219,109.44931030273438,295742
2020-12-31,114.0,114.5999984741211,112.5999984741211,114.0,109.25762939453125,201955
2021-01-04,114.0,115.0,113.0,114.0,109.25762939453125,419282
2021-01-05,113.4000015258789,115.63800048828125,113.4000015258789,114.5999984741211,109.8326644897461,829358
2021-01-06,116.5999984741211,116.5999984741211,114.0,114.4000015258789,109.6409912109375,603779
2021-01-07,116.19999694824219,116.19999694824219,114.0,114.5999984741211,109.8326644897461,837219
2021-01-08,115.80000305175781,116.0,114.19999694824219,114.5999984741211,109.8326644897461,351585
2021-01-11,114.80000305175781,115.80000305175781,114.06400299072266,115.4000015258789,110.5993881225586,637613
2021-01-12,116.0,116.0,114.19999694824219,114.5999984741211,109.8326644897461,592880
2021-01-13,115.80000305175781,115.80000305175781,114.19999694824219,115.0,110.21602630615234,1146333
2021-01-14,115.19999694824219,115.19999694824219,114.37100219726562,114.80000305175781,110.02435302734375,667001
2021-01-15,116.0,116.0,114.19999694824219,114.5999984741211,109.8326644897461,266867
2021-01-18,116.0,116.19000244140625,114.0,115.0,110.21602630615234,425679
2021-01-19,114.19999694824219,115.0,113.84300231933594,114.5999984741211,109.8326644897461,426443
2021-01-20,114.0,114.80000305175781,113.5999984741211,113.80000305175781,109.06595611572266,420931
2021-01-21,114.80000305175781,116.19999694824219,113.61199951171875,115.5999984741211,110.79106903076172,705301
2021-01-22,115.5999984741211,116.5999984741211,114.80000305175781,115.19999694824219,110.40770721435547,1680464
2021-01-25,116.80000305175781,117.95899963378906,114.63800048828125,117.4000015258789,112.51619720458984,348207
2021-01-26,118.0,118.0,115.19999694824219,115.4000015258789,110.5993881225586,434923
2021-01-27,115.4000015258789,117.0,114.80000305175781,115.19999694824219,110.40770721435547,471350
2021-01-28,116.5999984741211,116.5999984741211,114.5999984741211,114.80000305175781,110.02435302734375,702448
2021-01-29,117.5999984741211,117.5999984741211,114.4000015258789,115.19999694824219,110.40770721435547,784768
2021-02-01,115.80000305175781,116.0,114.80000305175781,115.19999694824219,110.40770721435547,1654434
2021-02-02,115.80000305175781,116.19999694824219,114.80000305175781,115.80000305175781,110.98275756835938,2009641
2021-02-03,116.5999984741211,116.5999984741211,115.0,116.0,111.17443084716797,254356
2021-02-04,115.19999694824219,116.80000305175781,115.19999694824219,116.5999984741211,111.74946594238281,541144
2021-02-05,116.80000305175781,116.80000305175781,115.5739974975586,116.0,111.17443084716797,402694
2021-02-08,116.80000305175781,116.80000305175781,114.5999984741211,115.0,110.21602630615234,437536
2021-02-09,115.80000305175781,116.19999694824219,114.4000015258789,115.4000015258789,110.5993881225586,863232
2021-02-10,115.5999984741211,116.4000015258789,114.80000305175781,116.0,111.17443084716797,573319
2021-02-11,115.19999694824219,116.80000305175781,114.4000015258789,116.5999984741211,113.39168548583984,780923
2021-02-12,114.80000305175781,116.0,112.4000015258789,113.0,109.8907470703125,1075029
2021-02-15,114.0,114.0,112.0,112.4000015258789,109.30725860595703,558308
2021-02-16,113.80000305175781,113.80000305175781,112.0,112.5999984741211,109.50174713134766,435480
2021-02-17,113.4000015258789,113.5999984741211,112.21600341796875,113.0,109.8907470703125,264974
2021-02-18,114.0,114.0,112.3270034790039,112.80000305175781,109.69625091552734,606093
2021-02-19,113.0,113.0,112.0,112.19999694824219,109.11276245117188,344311
2021-02-22,112.4000015258789,112.80000305175781,111.80000305175781,112.4000015258789,109.30725860595703,349456
2021-02-23,112.4000015258789,113.0,112.0,112.80000305175781,109.69625091552734,708876
2021-02-24,113.0,113.00800323486328,112.0,112.5999984741211,109.50174713134766,453049
2021-02-25,112.80000305175781,113.0,112.19999694824219,112.19999694824219,109.11276245117188,438576
2021-02-26,112.0,112.79000091552734,110.53800201416016,111.80000305175781,108.72377014160156,2120128
2021-03-01,110.4000015258789,112.19999694824219,110.4000015258789,110.5999984741211,107.55677795410156,622843
2021-03-02,112.4000015258789,112.4000015258789,110.4000015258789,110.4000015258789,107.36228942871094,1643891
2021-03-03,110.4000015258789,111.0,110.4000015258789,110.80000305175781,107.75128173828125,914499
2021-03-04,111.0,112.0,110.0,111.0,107.9457778930664,1921485
2021-03-05,110.0,111.0,109.4000015258789,109.4000015258789,106.38980102539062,1034116
2021-03-08,110.0,110.80000305175781,109.2509994506836,110.0,106.97329711914062,1052466
2021-03-09,110.80000305175781,110.80000305175781,109.0,109.4000015258789,106.38980102539062,704447
2021-03-10,109.5999984741211,110.4000015258789,109.0,109.5999984741211,106.58429718017578,548758
2021-03-11,109.5999984741211,112.80000305175781,109.5999984741211,111.80000305175781,108.72377014160156,1009315
2021-03-12,110.19999694824219,112.0,110.19999694824219,111.80000305175781,108.72377014160156,518261
2021-03-15,112.0,112.5999984741211,111.5999984741211,112.5999984741211,109.50174713134766,1592447
2021-03-16,112.4000015258789,114.0780029296875,111.95800018310547,113.19999694824219,110.08524322509766,947713
2021-03-17,114.0,114.0,113.0,113.0,109.8907470703125,696357
2021-03-18,112.80000305175781,114.0,112.80000305175781,113.19999694824219,110.08524322509766,327619
2021-03-19,114.19999694824219,114.19999694824219,112.4000015258789,112.4000015258789,109.30725860595703,1675697
2021-03-22,112.4000015258789,113.68000030517578,112.19999694824219,113.4000015258789,110.27973937988281,332695
2021-03-23,114.19999694824219,114.19999694824219,112.53199768066406,113.80000305175781,110.66873931884766,605968
2021-03-24,112.4000015258789,114.0,112.29399871826172,113.4000015258789,110.27973937988281,523715
2021-03-25,113.0,113.80000305175781,112.80000305175781,113.0,109.8907470703125,369085
2021-03-26,113.4000015258789,114.5999984741211,112.9229965209961,114.0,110.86323547363281,375872
2021-03-29,114.5999984741211,115.0,112.9229965209961,114.0,110.86323547363281,356077
2021-03-30,114.80000305175781,115.0,113.5999984741211,113.80000305175781,110.66873931884766,329064
2021-03-31,113.19999694824219,114.0,112.0,113.4000015258789,110.27973937988281,581569
2021-04-01,112.4000015258789,113.80000305175781,112.21600341796875,113.0,109.8907470703125,497854
2021-04-06,112.80000305175781,114.19999694824219,112.19999694824219,113.0,109.8907470703125,1141257
2021-04-07,113.0,115.5999984741211,112.7979965209961,114.0,110.86323547363281,961251
2021-04-08,115.80000305175781,115.80000305175781,113.22899627685547,114.5999984741211,111.44671630859375,1736353
2021-04-09,114.80000305175781,115.30000305175781,114.39800262451172,114.5999984741211,111.44671630859375,495411
2021-04-12,114.80000305175781,116.19999694824219,114.80000305175781,116.0,112.8082046508789,906862
2021-04-13,115.0,117.0,114.4020004272461,117.0,113.78068542480469,670699
2021-04-14,117.0,117.19999694824219,115.80000305175781,116.5999984741211,113.39168548583984,362756
2021-04-15,117.19999694824219,117.19999694824219,115.80000305175781,116.0,112.8082046508789,236492
2021-04-16,116.19999694824219,116.80000305175781,115.80000305175781,116.5999984741211,113.39168548583984,363297
2021-04-19,117.19999694824219,118.19999694824219,115.56099700927734,118.0,114.753173828125,1368424
2021-04-20,117.80000305175781,118.4000015258789,117.19999694824219,118.0,114.753173828125,560325
2021-04-21,115.19999694824219,118.0,115.19999694824219,117.0,113.78068542480469,407499
2021-04-22,117.0,118.19999694824219,115.75399780273438,118.19999694824219,114.94766998291016,486941
2021-04-23,117.19999694824219,118.19999694824219,116.83899688720703,117.19999694824219,113.97518157958984,282848
2021-04-26,117.4000015258789,118.80000305175781,116.4000015258789,117.5999984741211,114.36417388916016,305553
2021-04-27,117.80000305175781,117.80000305175781,116.5999984741211,117.0,113.78068542480469,533160
2021-04-28,117.19999694824219,119.0,115.5999984741211,116.4000015258789,113.19719696044922,1383559
2021-04-29,116.5999984741211,119.19999694824219,115.80000305175781,118.4000015258789,115.14216613769531,714676
2021-04-30,118.5999984741211,118.78900146484375,118.0,118.19999694824219,114.94766998291016,355953
2021-05-04,117.19999694824219,118.80000305175781,117.19999694824219,117.5999984741211,114.36417388916016,390500
2021-05-05,118.0,119.0,117.4000015258789,117.80000305175781,114.55867767333984,347274
2021-05-06,118.4000015258789,118.5999984741211,117.19999694824219,117.80000305175781,114.55867767333984,442647
2021-05-07,117.80000305175781,118.0,117.20600128173828,118.0,114.753173828125,367952
2021-05-10,118.0,120.4000015258789,117.5979995727539,119.4000015258789,116.11465454101562,1057401
2021-05-11,118.80000305175781,119.4000015258789,118.5999984741211,118.5999984741211,115.33665466308594,1479686
2021-05-12,119.5999984741211,119.5999984741211,117.0,117.4000015258789,114.16968536376953,453124
2021-05-13,118.4000015258789,118.4000015258789,115.0,115.4000015258789,113.85396575927734,575467
2021-05-14,115.80000305175781,116.0,115.0,115.0,113.4593276977539,662218
2021-05-17,115.80000305175781,116.0,115.0,115.0,113.4593276977539,511409
2021-05-18,115.4000015258789,116.0,114.0,114.19999694824219,112.6700439453125,602133
2021-05-19,114.5999984741211,114.80000305175781,114.01000213623047,114.5999984741211,113.06468200683594,326031
2021-05-20,114.5999984741211,114.80000305175781,113.5999984741211,113.5999984741211,112.07807922363281,305616
2021-05-21,113.80000305175781,114.4000015258789,113.4000015258789,113.5999984741211,112.07807922363281,776057
2021-05-24,114.19999694824219,116.19000244140625,113.5999984741211,115.19999694824219,113.65664672851562,937433
2021-05-25,115.4000015258789,116.5999984741211,112.0,113.5999984741211,112.07807922363281,2104442
2021-05-26,114.5999984741211,117.0,113.5999984741211,115.4000015258789,113.85396575927734,1200481
2021-05-27,115.0,116.4000015258789,115.0,115.5999984741211,114.05128479003906,640986
2021-05-28,116.4000015258789,116.4000015258789,115.0,115.0,113.4593276977539,464142
2021-06-01,115.0,116.0,114.5999984741211,115.0,113.4593276977539,1090700
2021-06-02,114.80000305175781,115.5999984741211,114.80000305175781,115.5999984741211,114.05128479003906,517756
2021-06-03,115.0,115.4000015258789,114.4000015258789,114.4000015258789,112.86736297607422,471783
2021-06-04,115.0,116.0,114.5999984741211,116.0,114.44593048095703,502414
2021-06-07,116.0,118.80000305175781,115.80000305175781,118.19999694824219,116.616455078125,841316
2021-06-08,119.0,119.0,116.4000015258789,116.4000015258789,114.840576171875,1352952
2021-06-09,117.4000015258789,117.4000015258789,116.19999694824219,116.4000015258789,114.840576171875,594336
2021-06-10,116.80000305175781,116.80000305175781,115.0,115.80000305175781,114.24861145019531,751997
2021-06-11,116.19999694824219,116.19999694824219,115.0,115.0,113.4593276977539,514810
2021-06-14,115.0,115.80000305175781,114.88300323486328,115.0,113.4593276977539,676951
2021-06-15,115.4000015258789,116.0,114.99500274658203,116.0,114.44593048095703,2204369
2021-06-16,115.19999694824219,116.5999984741211,115.19999694824219,115.19999694824219,113.65664672851562,818723
2021-06-17,116.4000015258789,116.4000015258789,115.19999694824219,115.19999694824219,113.65664672851562,426243
2021-06-18,115.80000305175781,121.5999984741211,113.80000305175781,113.80000305175781,112.27540588378906,3641164
2021-06-21,115.4000015258789,115.99600219726562,114.4000015258789,114.4000015258789,112.86736297607422,1028406
2021-06-22,115.0,115.4000015258789,114.55799865722656,115.19999694824219,113.65664672851562,705439
2021-06-23,115.4000015258789,115.4000015258789,114.5999984741211,114.5999984741211,113.06468200683594,410405
2021-06-24,114.5999984741211,115.4000015258789,114.4000015258789,114.4000015258789,112.86736297607422,527979
2021-06-25,114.4000015258789,116.0,114.4000015258789,115.0,113.4593276977539,1359123
2021-06-28,115.4000015258789,115.98600006103516,114.4000015258789,114.5999984741211,113.06468200683594,598037
